id,emp_id,check_in,check_out,shift_id
1,0,2024-05-01 14:34:00,2024-05-01 21:54:00,2
2,0,2024-05-02 14:04:00,2024-05-02 21:47:00,2
3,0,2024-05-03 14:36:00,2024-05-03 21:46:00,2
4,0,2024-05-06 14:09:00,2024-05-06 22:01:00,2
5,0,2024-05-07 14:16:00,2024-05-07 22:51:00,2
6,0,2024-05-08 14:30:00,2024-05-08 22:48:00,2
7,0,2024-05-09 14:40:00,2024-05-09 22:19:00,2
8,0,2024-05-10 14:10:00,2024-05-10 23:41:00,2
9,0,2024-05-13 14:19:00,2024-05-13 23:43:00,2
10,0,2024-05-14 14:13:00,2024-05-14 22:40:00,2
11,0,2024-05-15 14:38:00,2024-05-15 22:08:00,2
12,0,2024-05-16 14:11:00,2024-05-16 21:49:00,2
13,0,2024-05-17 14:40:00,2024-05-17 23:48:00,2
14,0,2024-05-20 14:14:00,2024-05-20 22:00:00,2
15,0,2024-05-21 14:09:00,2024-05-21 22:03:00,2
16,0,2024-05-22 14:00:00,2024-05-22 23:49:00,2
17,0,2024-05-23 14:29:00,2024-05-23 22:09:00,2
18,0,2024-05-24 14:32:00,2024-05-24 23:10:00,2
19,0,2024-05-27 14:32:00,2024-05-27 22:28:00,2
20,0,2024-05-28 14:17:00,2024-05-28 23:22:00,2
21,0,2024-05-29 14:36:00,2024-05-29 21:43:00,2
22,0,2024-05-30 13:59:00,2024-05-30 21:50:00,2
23,1,2024-05-01 09:04:00,2024-05-01 18:23:00,1
24,1,2024-05-02 09:13:00,2024-05-02 18:02:00,1
25,1,2024-05-03 09:25:00,2024-05-03 18:17:00,1
26,1,2024-05-06 09:30:00,2024-05-06 16:42:00,1
27,1,2024-05-07 09:15:00,2024-05-07 18:15:00,1
28,1,2024-05-08 08:50:00,2024-05-08 17:44:00,1
29,1,2024-05-09 09:16:00,2024-05-09 18:24:00,1
30,1,2024-05-10 09:21:00,2024-05-10 17:42:00,1
31,1,2024-05-13 09:28:00,2024-05-13 18:32:00,1
32,1,2024-05-14 09:09:00,2024-05-14 17:31:00,1
33,1,2024-05-15 08:56:00,2024-05-15 17:56:00,1
34,1,2024-05-16 09:05:00,2024-05-16 18:11:00,1
35,1,2024-05-17 09:03:00,2024-05-17 16:48:00,1
36,1,2024-05-20 09:05:00,2024-05-20 18:01:00,1
37,1,2024-05-21 08:55:00,2024-05-21 17:56:00,1
38,1,2024-05-22 09:01:00,2024-05-22 16:49:00,1
39,1,2024-05-23 08:59:00,2024-05-23 17:43:00,1
