id,emp_id,processed_by,processed_at,requested_at,start_date,end_date,reason,approval_status
0,273,00000000-0000-0000-0000-000000000000,2025-01-21,2025-01-21,2025-01-30,2025-02-02,Annual,1
1,1300,00000000-0000-0000-0000-000000000000,2025-06-01,2025-06-01,2025-06-08,2025-06-15,Sick,1
2,359,00000000-0000-0000-0000-000000000000,2025-05-23,2025-05-23,2025-06-05,2025-06-12,Annual,2
3,966,00000000-0000-0000-0000-000000000000,2025-08-03,2025-08-03,2025-08-11,2025-08-19,Maternity/Paternity,1
4,605,00000000-0000-0000-0000-000000000000,2025-05-16,2025-05-16,2025-05-21,2025-05-23,Unpaid,1
5,791,00000000-0000-0000-0000-000000000000,2025-12-06,2025-12-06,2025-12-08,2025-12-17,Sick,1
6,334,00000000-0000-0000-0000-000000000000,2025-04-26,2025-04-26,2025-05-04,2025-05-08,Annual,1
7,408,00000000-0000-0000-0000-000000000000,2025-12-20,2025-12-20,2025-12-29,2026-01-04,Sick,1
8,714,00000000-0000-0000-0000-000000000000,2025-11-03,2025-11-03,2025-11-14,2025-11-19,Annual,1
9,72,00000000-0000-0000-0000-000000000000,2025-08-23,2025-08-23,2025-08-29,2025-09-07,Annual,0
10,560,00000000-0000-0000-0000-000000000000,2025-07-29,2025-07-29,2025-08-11,2025-08-15,Sick,1
11,1338,00000000-0000-0000-0000-000000000000,2025-04-03,2025-04-03,2025-04-17,2025-04-18,Sick,2
12,809,00000000-0000-0000-0000-000000000000,2025-09-19,2025-09-19,2025-09-27,2025-10-06,Sick,1
13,724,00000000-0000-0000-0000-000000000000,2025-03-31,2025-03-31,2025-04-03,2025-04-05,Annual,1
14,393,00000000-0000-0000-0000-000000000000,2026-01-05,2026-01-05,2026-01-08,2026-01-15,Annual,1
15,1385,00000000-0000-0000-0000-000000000000,2025-05-24,2025-05-24,2025-06-07,2025-06-12,Annual,1
16,969,00000000-0000-0000-0000-000000000000,2025-05-10,2025-05-10,2025-05-15,2025-05-22,Annual,1
17,332,00000000-0000-0000-0000-000000000000,2025-02-25,2025-02-25,2025-03-04,2025-03-13,Annual,1
18,208,00000000-0000-0000-0000-000000000000,2025-08-01,2025-08-01,2025-08-15,2025-08-24,Sick,0
19,774,00000000-0000-0000-0000-000000000000,2026-03-03,2026-03-03,2026-03-10,2026-03-10,Annual,1
20,805,00000000-0000-0000-0000-000000000000,2025-11-23,2025-11-23,2025-12-03,2025-12-10,Unpaid,1
21,753,00000000-0000-0000-0000-000000000000,2025-09-23,2025-09-23,2025-09-29,2025-10-04,Unpaid,1
22,551,00000000-0000-0000-0000-000000000000,2025-05-02,2025-05-02,2025-05-10,2025-05-18,Maternity/Paternity,1
23,545,00000000-0000-0000-0000-000000000000,2025-04-03,2025-04-03,2025-04-09,2025-04-14,Annual,0
24,367,00000000-0000-0000-0000-000000000000,2025-04-28,2025-04-28,2025-05-06,2025-05-11,Sick,1
25,1255,00000000-0000-0000-0000-000000000000,2026-02-24,2026-02-24,2026-03-02,2026-03-03,Sick,1
26,539,00000000-0000-0000-0000-000000000000,2025-10-06,2025-10-06,2025-10-11,2025-10-17,Unpaid,1
27,348,00000000-0000-0000-0000-000000000000,2025-06-02,2025-06-02,2025-06-16,2025-06-18,Annual,0
28,874,00000000-0000-0000-0000-000000000000,2025-05-25,2025-05-25,2025-06-02,2025-06-11,Annual,1
29,521,00000000-0000-0000-0000-000000000000,2025-02-03,2025-02-03,2025-02-13,2025-02-14,Unpaid,1
30,364,00000000-0000-0000-0000-000000000000,2025-01-10,2025-01-10,2025-01-22,2025-01-25,Annual,0
31,1338,00000000-0000-0000-0000-000000000000,2025-02-01,2025-02-01,2025-02-04,2025-02-07,Annual,1
32,117,00000000-0000-0000-0000-000000000000,2025-11-26,2025-11-26,2025-12-08,2025-12-15,Annual,1
33,282,00000000-0000-0000-0000-000000000000,2025-10-01,2025-10-01,2025-10-07,2025-10-09,Sick,1
34,119,00000000-0000-0000-0000-000000000000,2025-05-14,2025-05-14,2025-05-21,2025-05-30,Annual,2
35,348,00000000-0000-0000-0000-000000000000,2025-06-30,2025-06-30,2025-07-08,2025-07-17,Annual,1
36,482,00000000-0000-0000-0000-000000000000,2025-04-07,2025-04-07,2025-04-17,2025-04-24,Annual,1
37,1439,00000000-0000-0000-0000-000000000000,2025-07-14,2025-07-14,2025-07-18,2025-07-18,Annual,1
38,519,00000000-0000-0000-0000-000000000000,2025-03-13,2025-03-13,2025-03-19,2025-03-26,Sick,0
39,35,00000000-0000-0000-0000-000000000000,2025-07-01,2025-07-01,2025-07-04,2025-07-04,Annual,1
40,991,00000000-0000-0000-0000-000000000000,2025-10-11,2025-10-11,2025-10-18,2025-10-27,Annual,1
